School Rank,School Name,PIN Code,School Score,Better Education URL,School URL,School Type,Nr Of Students,Suburb,Shortlist,
1,Burwood East Primary School,3151,100,https://bettereducation.com.au/QuerySchool.aspx?Name=Burwood East Primary School&State=VIC,www.burwoodeastps.vic.edu.au,P-6,175,Burwood East,Y,
2,"Serpell Primary School,Templestowe,VIC,3106",3106,100,"https://bettereducation.com.au/QuerySchool.aspx?Name=Serpell Primary School,Templestowe,VIC,3106&State=VIC",www.serpellps.vic.edu.au,P-6,1140,Templestowe,Y,Off Track
3,"Beverley Hills Primary School,Doncaster East,VIC,3109",3109,100,"https://bettereducation.com.au/QuerySchool.aspx?Name=Beverley Hills Primary School,Doncaster East,VIC,3109&State=VIC",www.bevhillsps.vic.edu.au/,p-6,410,Doncaster East,Y,Bus
4,"Oakleigh South Primary School,Oakleigh South,VIC,3167",3167,100,"https://bettereducation.com.au/QuerySchool.aspx?Name=Oakleigh South Primary School,Oakleigh South,VIC,3167&State=VIC",oakleighsouthps.vic.edu.au,p-6,513,South Oakleigh,Y,Off Track
5,"Glendal Primary School,Glen Waverley,VIC,3150",3150,100,"https://bettereducation.com.au/QuerySchool.aspx?Name=Glendal Primary School,Glen Waverley,VIC,3150&State=VIC",www.glendalps.vic.edu.au,P-6,881,Glen Waverley,Y,
6,"Doncaster Gardens Primary School,Doncaster East,VIC,3109",3109,100,"https://bettereducation.com.au/QuerySchool.aspx?Name=Doncaster Gardens Primary School,Doncaster East,VIC,3109&State=VIC",www.dgps.vic.edu.au,P-6,666,Doncaster East,Y,
7,"Mount View Primary School,Glen Waverley,VIC,3150",3150,100,"https://bettereducation.com.au/QuerySchool.aspx?Name=Mount View Primary School,Glen Waverley,VIC,3150&State=VIC",mountviewps.vic.edu.au,All Primary,1110,Glen Waverley,Y,
8,"Camberwell Primary School,Camberwell,VIC,3124",3124,99,"https://bettereducation.com.au/QuerySchool.aspx?Name=Camberwell Primary School,Camberwell,VIC,3124&State=VIC",www.camberwellps.vic.edu.au,p-6,613,Camberwell,Y,
9,Balwyn North Primary School,3104,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Balwyn North Primary School&State=VIC,www.balwynnorthps.vic.edu.au,P-6,452,Balwyn North,Y,
10,"Southmoor Primary School,Moorabbin,VIC,3189",3189,99,"https://bettereducation.com.au/QuerySchool.aspx?Name=Southmoor Primary School,Moorabbin,VIC,3189&State=VIC",www.southmoor.vic.edu.au,P-6,399,Moorabbin,N,
11,"Birralee Primary School,Doncaster,VIC,3108",3108,99,"https://bettereducation.com.au/QuerySchool.aspx?Name=Birralee Primary School,Doncaster,VIC,3108&State=VIC",www.birralee.vic.edu.au,P-6,349,DONCASTER,Y,
12,Canterbury Primary School,3126,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Canterbury Primary School&State=VIC,www.canterburyps.vic.edu.au,P-6,608,Canterbury,Y,
13,Newport Lakes Primary School,3015,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Newport Lakes Primary School&State=VIC,www.newportlakesps.vic.edu.au,P-6,409,Newport,N,Not good options
14,Wattle Park Primary School,3125,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Wattle Park Primary School&State=VIC,www.wattleparkps.vic.edu.au,P-6,404,Burwood,Y,
15,Distance Education Centre Victoria,3071,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Distance Education Centre Victoria&State=VIC,www.distance.vic.edu.au,P-12,3367,Thornbury,Y,
16,"Balwyn Primary School,Balwyn,VIC,3103",3103,99,"https://bettereducation.com.au/QuerySchool.aspx?Name=Balwyn Primary School,Balwyn,VIC,3103&State=VIC",www.balwynps.vic.edu.au,P-6,476,Balwyn,Y,
17,Preston West Primary School,3072,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Preston West Primary School&State=VIC,www.prestonwest.vic.edu.au,P-6,425,Preston West,N,
18,"Pinewood Primary School,Mount Waverley,VIC,3149",3149,99,"https://bettereducation.com.au/QuerySchool.aspx?Name=Pinewood Primary School,Mount Waverley,VIC,3149&State=VIC",www.pinewood-ps.vic.edu.au,P-6,583,Mount Waverley,Y,
19,Kew East Primary School,3102,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Kew East Primary School&State=VIC,www.keps.vic.edu.au,P-6,483,East Kew,Y,
20,"Merri Creek Primary School,Fitzroy North,VIC,3068",3068,99,"https://bettereducation.com.au/QuerySchool.aspx?Name=Merri Creek Primary School,Fitzroy North,VIC,3068&State=VIC",www.merricreekps.vic.edu.au/,P-6,297,North Fitzroy,Y,
21,"Hampton Primary School,Hampton,VIC,3188",3188,99,"https://bettereducation.com.au/QuerySchool.aspx?Name=Hampton Primary School,Hampton,VIC,3188&State=VIC",www.hamptonps.vic.edu.au,P-6,702,Hampton,N,
22,Blackburn Lake Primary School,3130,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Blackburn Lake Primary School&State=VIC,www.blps.vic.edu.au,P-6,483,Blackburn,Y,
23,Vermont Primary School,3133,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Vermont Primary School&State=VIC,www.vermontps.vic.edu.au,P-6,686,Vermont,Y,
24,Carnegie Primary School,3163,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Carnegie Primary School&State=VIC,www.carnegieps.vic.edu.au,P-6,566,Carnegie,Y,
25,Wheelers Hill Primary School,3150,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Wheelers Hill Primary School&State=VIC,www.wheelershillps.vic.edu.au/,p-6,494,Wheelers Hill,Y,
26,"Donburn Primary School,Doncaster East,VIC,3109",3109,99,"https://bettereducation.com.au/QuerySchool.aspx?Name=Donburn Primary School,Doncaster East,VIC,3109&State=VIC",www.donburn.vic.edu.au,All Primary,430,Doncaster East,Y,
27,Richmond Primary School,3121,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Richmond Primary School&State=VIC,www.richmondps.vic.edu.au,P-6,256,Richmond,Y,
28,Ivanhoe Primary School,3079,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Ivanhoe Primary School&State=VIC,www.ivanhoeps.vic.edu.au,P-6,599,Ivanhoe,Y,
29,Kerrimuir Primary School,3129,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Kerrimuir Primary School&State=VIC,www.kerrimuirps.vic.edu.au,P-6,340,Box Hill North,Y,
30,Clifton Hill Primary School,3068,99,https://bettereducation.com.au/QuerySchool.aspx?Name=Clifton Hill Primary School&State=VIC,www.cliftonhillps.vic.edu.au/,p-6,736,Clifton Hill,Y,
31,"Camelot Rise Primary School,Glen Waverley,VIC,3150",3150,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Camelot Rise Primary School,Glen Waverley,VIC,3150&State=VIC",www.camelotrise.vic.edu.au,All Primary,448,Glen Waverley,Y,
32,"Malvern Primary School,Malvern East,VIC,3145",3145,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Malvern Primary School,Malvern East,VIC,3145&State=VIC",www.malvernps.vic.edu.au,P-6,694,East Malvern,Y,
33,"Hartwell Primary School,Camberwell,VIC,3124",3124,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Hartwell Primary School,Camberwell,VIC,3124&State=VIC",www.hartwellps.vic.edu.au,P-6,683,Camberwell,Y,
34,Carlton Gardens Primary School,3053,98,https://bettereducation.com.au/QuerySchool.aspx?Name=Carlton Gardens Primary School&State=VIC,www.carltongardens.vic.edu.au,P-6,360,Carlton,Y,
35,"Mount Waverley Primary School,Mount Waverley,VIC,3149",3149,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Mount Waverley Primary School,Mount Waverley,VIC,3149&State=VIC",www.mountwaverleyps.vic.edu.au,P-6,658,Mt Waverley,Y,
36,Mount Pleasant Road Primary School,3131,98,https://bettereducation.com.au/QuerySchool.aspx?Name=Mount Pleasant Road Primary School&State=VIC,www.mtpleasantroadps.vic.edu.au,K-6,138,Brentford Square,Y,
37,"Brandon Park Primary School,Wheelers Hill,VIC,3150",3150,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Brandon Park Primary School,Wheelers Hill,VIC,3150&State=VIC",www.bpps.vic.edu.au,P-6,319,Wheelers Hill,Y,
38,"Highvale Primary School,Glen Waverley,VIC,3150",3150,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Highvale Primary School,Glen Waverley,VIC,3150&State=VIC",www.highvaleps.vic.edu.au,All Primary,266,Glen Waverley,Y,
39,"Glen Waverley Primary School,Glen Waverley,VIC,3150",3150,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Glen Waverley Primary School,Glen Waverley,VIC,3150&State=VIC",www.glenps.vic.edu.au,P-6,773,Glen Waverley,Y,
40,Laburnum Primary School,3130,98,https://bettereducation.com.au/QuerySchool.aspx?Name=Laburnum Primary School&State=VIC,www.laburnumps.vic.edu.au,All Primary,761,Blackburn,Y,Close to Office and Train
41,South Yarra Primary School,3141,98,https://bettereducation.com.au/QuerySchool.aspx?Name=South Yarra Primary School&State=VIC,www.southyarraps.vic.edu.au,P-6,336,South Yarra,N,
42,"Deepdene Primary School,Balwyn,VIC,3103",3103,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Deepdene Primary School,Balwyn,VIC,3103&State=VIC",web.deepdeneps.vic.edu.au,All Primary,441,Balwyn,Y,Close to Tram
43,"Banyule Primary School,Rosanna,VIC,3084",3084,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Banyule Primary School,Rosanna,VIC,3084&State=VIC",www.banyuleps.vic.edu.au,P-6,586,Rosanna,Y,Close to Train
44,"Mont Albert Primary School,Mont Albert,VIC,3127",3127,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Mont Albert Primary School,Mont Albert,VIC,3127&State=VIC",www.maps.vic.edu.au,P-6,725,Mont Albert,Y,
45,"Templeton Primary School,Wantirna,VIC,3152",3152,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Templeton Primary School,Wantirna,VIC,3152&State=VIC",www.templetonps.vic.edu.au/,p-6,628,Wantirna South,Y,
46,Orchard Grove Primary School,3130,98,https://bettereducation.com.au/QuerySchool.aspx?Name=Orchard Grove Primary School&State=VIC,www.orchgveps.vic.edu.au,All Primary,,Blackburn,Y,
47,"Alphington Primary School,Alphington,VIC,3078",3078,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Alphington Primary School,Alphington,VIC,3078&State=VIC",www.alphinps.vic.edu.au,P-6,428,Alphington,N,
48,Yarraville West Primary School,3013,98,https://bettereducation.com.au/QuerySchool.aspx?Name=Yarraville West Primary School&State=VIC,www.ywps.vic.edu.au,P-6,795,Yarraville,N,
49,"Templestowe Park Primary School,Templestowe,VIC,3106",3106,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Templestowe Park Primary School,Templestowe,VIC,3106&State=VIC",www.templestoweparkps.vic.edu.au/homepage.htm,P-6,449,Templestowe,N,
50,"Essex Heights Primary School,Mount Waverley,VIC,3149",3149,98,"https://bettereducation.com.au/QuerySchool.aspx?Name=Essex Heights Primary School,Mount Waverley,VIC,3149&State=VIC",www.essexheightsps.vic.edu.au,P-6,481,Mt Waverley,N,
51,"Ashburton Primary School,Ashburton,VIC,3147",3147,97,"https://bettereducation.com.au/QuerySchool.aspx?Name=Ashburton Primary School,Ashburton,VIC,3147&State=VIC",www.ashburtonps.vic.edu.au,P-6,562,Ashburton,N,
52,Burwood Heights Primary School,3151,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Burwood Heights Primary School&State=VIC,www.burwoodhps.vic.edu.au,P-6,322,East Burwood,N,
53,"Parktone Primary School,Parkdale,VIC,3195",3195,97,"https://bettereducation.com.au/QuerySchool.aspx?Name=Parktone Primary School,Parkdale,VIC,3195&State=VIC",www.parktoneps.vic.edu.au,P-6,511,Parkdale,N,
54,Glen Iris Primary School,3146,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Glen Iris Primary School&State=VIC,www.gips.vic.edu.au,All Primary,415,Glen Iris,N,
55,Rangeview Primary School,3132,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Rangeview Primary School&State=VIC,www.rangeview.vic.edu.au,P-6,568,Mitcham,N,
56,Malvern Central School,3144,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Malvern Central School&State=VIC,www.malvern-central.vic.edu.au,F-6,433,Malvern,N,
57,Research Primary School,3095,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Research Primary School&State=VIC,www.researchps.vic.edu.au,P-6,204,Research,N,
58,North Melbourne Primary School,3051,97,https://bettereducation.com.au/QuerySchool.aspx?Name=North Melbourne Primary School&State=VIC,www.northmelbourneps.vic.edu.au,P-6,724,North Melbourne,N,
59,Hawthorn West Primary School,3122,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Hawthorn West Primary School&State=VIC,www.hawthornwestps.vic.edu.au,P-6,427,Hawthorn,N,
60,Northcote Primary School,3070,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Northcote Primary School&State=VIC,www.northcoteps.vic.edu.au,P-6,379,Northcote,N,
61,Kingston Heath Primary School,3192,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Kingston Heath Primary School&State=VIC,www.khps.vic.edu.au,P-6,283,Cheltenham,N,
62,"Weeden Heights Primary School,Vermont South,VIC,3133",3133,97,"https://bettereducation.com.au/QuerySchool.aspx?Name=Weeden Heights Primary School,Vermont South,VIC,3133&State=VIC",www.weedenheightsps.vic.edu.au,P-6,152,Vermont South,N,
63,Jells Park Primary School,3150,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Jells Park Primary School&State=VIC,www.jpps.vic.edu.au,P-6,535,Wheelers Hill,N,
64,Mitcham Primary School,3132,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Mitcham Primary School&State=VIC,www.mitcham.ps.vic.edu.au,P-6,412,Mitcham,N,
65,Derinya Primary School,3199,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Derinya Primary School&State=VIC,www.derinya.vic.edu.au,P-6,747,Frankston South,N,
66,Knox Gardens Primary School,3152,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Knox Gardens Primary School&State=VIC,www.kgps.vic.edu.au,P-6,320,Wantirna South,N,
67,"Kensington Primary School,Kensington,VIC,3031",3031,97,"https://bettereducation.com.au/QuerySchool.aspx?Name=Kensington Primary School,Kensington,VIC,3031&State=VIC",www.kensingtonps.vic.edu.au/,P-6,475,Kensington,N,
68,Caulfield South Primary School,3162,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Caulfield South Primary School&State=VIC,www.caulfieldsthps.vic.edu.au,P-6,486,Caulfield South,N,
69,Livingstone Primary School,3133,97,https://bettereducation.com.au/QuerySchool.aspx?Name=Livingstone Primary School&State=VIC,www.livingstoneps.vic.edu.au,P-6,707,Vermont South,N,
70,"Glenferrie Primary School,Hawthorn,VIC,3122",3122,97,"https://bettereducation.com.au/QuerySchool.aspx?Name=Glenferrie Primary School,Hawthorn,VIC,3122&State=VIC",www.glenferrieps.vic.edu.au,P-6,384,Hawthorn,N,
